Species,years,place,lat,lon,Description,imag,TRUE,Prediction
Opuntia anteojoensis,1988,"Mexico, Coahuila, Ca. 21 km west of Cuatro Ciénegas on the road to Esmeralda.",26.933333,-102.25,Flowers yellow. Tepals yellow.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0019/ASU0019052.jpg,1,0
Echinocereus engelmannii,2009,"USA, Arizona, Maricopa County, Sierra Estrella Mountains and Wilderness Area, west flank, along jeep trail to Quartz Peak Trailhead, 12S NAD 27, 38436",33.198067,-112.24128300000001,"Frequent to occasional, multi-stemmed, flowers 92(l)x87(w) mm, 78x75 mm, 85x78 mm, 70x78 mm, outer perianth brown-olive green, inner perianth rose with darker thin midstripe, filaments light pink-cream, anthers light cream, style white becoming pink distally, stigma lobes dark green, 12, 13, 14.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00062/DES00062306.jpg,1,0
Cylindropuntia rosea,2009,"Mexico, Hidalgo, 1 km north of Tula de Allende, just north of the Zona Archeológia fence.",20.066670000000002,-99.33333,"Shrub generally 1-2 m tall from 1 toseveral trunks to 9 cm diameter, these generally suberect; main branches arching-ascending; ultimate stem segments whorled, very easily detached; fruit yellow to pale green-yellow, leathery, moderately tuberculate, somewhat wrinkled.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0058/ASU0058926.jpg,0,0
Opuntia turgida,1919,"United States of America, Florida, Volusia Co., 5 miles south of Daytona",29.138216999999997,-81.02283299999999,,http://storage.idigbio.org/portals/seinet/mam/NY/00386/webmedia_1473316899_web.jpg,0,0
Ferocactus latispinus subsp. spiralis,2007,"Mexico, Guanajuato, Maricopa County: Grown in cultivation at Desert Botanical Garden, Phoenix, N 33 deg 27' 33'', W 111 deg 56' 35'', 1200 ft., 366 m:",21.049099,-101.223947,"Flower diameter 40 mm, length 45 mm, outer perianth dark brown or black with cream at tips, inner perianth cream with reddish-pink midstripe; stigma lobe number 17, color pinkish-brown; stamen are whorled tightly around style and stigma lobes, stamen color maroon; stem color green with a woody look at base; spines brownish pink; rib count 13. Plant is dead.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00059/DES00059762.jpg,1,0
Pilosocereus pachycladus,2012,"United States, Florida, Sarasota Co., Lake Sarasota, 2.2 km E of I-75.",27.2969,-82.4256,,https://cdn.plantatlas.org/img/specimens/USF/263407.jpg,1,0
Cylindropuntia imbricata var. argentea,2003,"USA, Texas, Brewster, Originally received into the DBG living collection as a plant collected by Wendy C. Hodgson 19 May 1993 from Texas, Brewster Cou",29.095278000000004,-103.069722,"Plant height ca 3 feet; joints blue-greay-green; spines white, tuberculate; areoles appear grayish-purple; flowers collected in the afternoon, diameter 25-35 mm, length 30-33 cm, outer perianth magenta with brownish midstripe, inner perianth bright magenta; stigma lobe number 5, pale yellow; style pink; Plant is dead.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00068/DES00068905.jpg,1,0
Thelocactus setispinus,1964,"USA, Texas, Burnet, Ink's Lake State Park.",30.735884999999996,-98.371957,13-ribbed stem.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/KHD/KHD00029/KHD00029933.JPG,1,0
Austrocylindropuntia miquelii,1977,"Mexico, Coahuila, Rte 40, ca. 4 mi E of El Sol and 27 mi W of Paila.",25.566670000000002,-102.6833,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0058/ASU0058157.jpg,0,0
Hatiora cylindrica,1916,"United States of America, New York, Bronx Co., Bronx, New York Botanical Garden",40.862412,-73.87814300000001,,http://storage.idigbio.org/portals/seinet/midwest/misc/201504/webmedia_1429372241_web.jpg,0,0
Ferocactus gracilis subsp. gracilis,1971,"Mexico, Baja California, Rte. 1, 5.5 mi. E of Rosario and 6.9 mi. NE (left fork) and 1.9 mi. along road to rancho",30.067905,-115.748573,"n=11, meiosis irregular",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00015/DES00015738.jpg,1,0
Coryphantha jaumavei,1993,"Mexico, San Luis Potosi, 11.2 miles east of Rio Verde on MEX Hwy 70.",21.92791,-99.99885400000001,"Pith very wide; medullary vascular system obvious; very woody, the root especially woody.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0052/ASU0052705.jpg,0,0
Eriosyce taltalensis subsp. paucicostata,1982,"Chile, 45 kilometers S of Paposo",-25.266667,-70.4,form  neohankeana,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00040/DES00040401.jpg,1,0
Cylindropuntia kelvinensis,2012,"USA, Arizona, Pinal County, Arizona National Scenic Trail, western foothills of Tortilla Mountains, northeast of Cottonwood Wash.",32.903296000000005,-110.940599,Frequent shrub ca 2-1/4 m tall x 2.5 m wide.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00082/DES00082686.jpg,1,0
Pereskiopsis rotundifolia,1996,"Mexico, Oaxaca, Near Hiutzo, just off roadside at field border.",17.25,-96.8667,"Tree to 2.5 m, clear yellow flowers.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0059/ASU0059036.jpg,1,0
Cylindropuntia bigelovii subsp. ciribe,1993,"Mexico, Baja California Sur, 64 km north of Ciudad Insurgentes and 13.7 mi east of Francisco Villa at riparian area on the Rio Commundu.",25.9667,-111.93299999999999,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0019/ASU0019069.jpg,1,0
Ferocactus johnstonianus,1960,"Mexico, Baja California, Arroyo Estatón, Isla Angel de la Guarda",29.133329999999997,-113.3333,,http://db.herbarium.arizona.edu/images/ARIZ/199/ariz199158.jpg,0,0
Echinocereus leucanthus,2010,"Mexico, Sonora, Guaymas, Near Las Guásimas",27.90056,-110.53721999999999,Locally abundant,https://serv.biokic.asu.edu/imglib/madrean/maba/flora/MABA/201104/Echinocereus_leucanthus-F.jpg,1,0
Mammillaria pennispinosa,1993,"Mexico, Durango, Napimí, Near Napimí",25.85,-103.783333,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00086/DES00086921.jpg,1,0
Opuntia wilcoxii,2018,"Mexico, Sonora, muris, Cerro Agua Caliente, 0.9 km (by air) W of Ímuris.",30.769440000000003,-110.86721999999999,,https://serv.biokic.asu.edu/imglib/madrean/greatergood/flora/GreaterGood/mde-30/Opuntia_cf_wilcoxii-ALReinaG-C_1546971431.jpg,0,0
Echinocereus fendleri var. rectispinus,2014,"Mexico, Sonora, Cananea, 22.4 km (by air) ENE of Cananea, NE of Sierra de los Ajos.",31.05167,-110.04833,,https://serv.biokic.asu.edu/imglib/madrean/maba/flora/MABA_Plants/201501/Echinocereus_fendleri_rectispi_1422399590.jpg,0,0
Opuntia emoryi,1993,"USA, Arizona, Cochise County, Low hills ca. 4-5 miles south of Peloncillo Mountains and Wilderness Area; ca. 7.5 miles north of frontage road of Inter",32.3761,-109.13799999999999,"Locally common only; clump-forming, low-growing (one joint high)",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00039/DES00039193.jpg,0,0
Pachgerocereus orcuttii,1959,"Mexico, Baja California, Near bottom of Arroyo Venado, tributary of Arroyo de San Fernando, ca. 25 miles by road southeast of El Rosario.",29.8,-115.5833,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0053/ASU0053868.jpg,0,0
Echinocereus coccineus subsp. rosei,1999,"USA, New Mexico, Doña Ana, Organ Mountains, just SE of the top of Pyramid Peak; 1km NNE of Bishop Cap; Bishop Cap Quadrangle",32.1969,-106.598,Locally abundant.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU_Plants/ASU0079/ASU0079810.jpg,1,0
Echinocereus sciurus subsp. floresii,2004,"Mexico, Sinaloa, Topolobampo",25.603672,-109.05408200000001,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00001/DES00001931.jpg,1,0
Echinocereus longisetus,2011,"Mexico, Coahuila, Cuatro Ciénegas Basin. Cañón del Agua, Sierra de la Madera, NW of Cuatro Ciénegas.",27.0213029716003,-102.089402675629,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0053/ASU0053267.jpg,0,0
Mammillaria brandegeei subsp. lewisiana,2002,"Mexico, Baja California Sur, Flats E of MEX 1 on the road to San Francisco de la Sierra.",27.483333000000002,-113.2,"Plant with milky sap. Flowers with outer tepals pink-brown and inner tepals cream with pink midstripe; perianth to 1.5 cm long; filaments white, anthers yellow, style cream, stigma lt. Green with 5 short lobes; Chromosomes n=11",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00038/DES00038935.jpg,0,0
Opuntia grandis,2012,"Mexico, San Luis Potosi, Camino a Guadalcazar, Guadalcazar",22.626361,-100.435222,,http://db.herbarium.arizona.edu/images/ARIZ/ARIZ/00426/ARIZ426101_lg.jpg,0,0
Cylindropuntia molesta subsp. molesta,1994,"Mexico, Baja California, 5.5 mi E of Rosario and 4.5 mi NE on left fork.",30.067905,-115.748573,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0056/ASU0056557.jpg,1,0
Echinocereus pulchellus,1956,"Mexico, San Luis Potosi, 15 mi. on road to Zacatecas from San Luis Potosi",22.300278,-101.149167,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00001/DES00001929.jpg,1,0
Echinocereus pentalophus subsp. leonensis,1995,"Mexico, Queretaro, Santiago de Querétaro, In cultivation Desert Botanical Garden, Phoenix, Maricopa Co, AZ, lat 33.461395, lon -111.944487, ele 1280';",20.599774,-100.389933,"Flower diameter 64,-90 mm, length 68090 mm, stigma number 9-12, stigma color dark green, outer perianth color pale fuchsia with greenish-brown mid stripe, inner perianth bright fuchsia with white base. Flowers collected at 11:00 am.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00042/DES00042322.jpg,1,0
Opuntia sulphurea,2012,"USA, Florida, Monroe, Originally received into the DBG living collection as a cutting from DBG accession 1994 0034 0102 which was originally recieved",24.661653,-81.338808,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00069/DES00069070.jpg,0,0
Cylindropuntia californica var. rosarica,1995,"Mexico, Baja California, Baja California Peninsula.",25.855043,-111.753174,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0054/ASU0054338.jpg,0,0
Ancistrocactus pinkavanus,1973,"Mexico, Coahuila, Ca. 9 mi W of jct road from Cuatro Ciénegas to Ocampo and road to Dolores. Ca. 2 mi E of Rancho.",27.149348,-102.2371,,http://storage.idigbio.org/portals/seinet/arizona/ASU_Plants/201511/ASU0023490_1448406719.jpg,0,0
Echinopsis formosa,2004,"Chile, Antofagasta, Region III. Antofagasta. NE slope of Quebrada La Chita on road to Collama.",-22.410528,-70.35,"Original name given to speciment (Echinopsis uebelmannian) not formally published. Plants 45 - 60 cm tall, 30 - 40 cm in diameter, 34 ribs; spines golden, 7 - 8 centreal, 14 - 17 radial spines, 3 - 8 (-14) cm long.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00055/DES00055836.jpg,0,0
Copiapoa calderana,1996,"Chile, Antofagasta, Town: Antofagasta. Q. la Chimba. Plant separate.",-23.53333,-70.35,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00046/DES00046800.jpg,1,0
Opuntia polyacantha var. juniperina,1962,"United States, New Mexico, Rio Arriba, 3 mi. north of La Madera just east of Rio Vallecitos on south and west-facing hillside. Rio Vallecitos drainage",36.42891522,-106.05736171,,,0,0
Opuntia impedata,1921,"United States of America, Florida, Atlantic Beach, East of Jacksonville",30.338556,-81.413116,,http://storage.idigbio.org/portals/seinet/mam/NY/00385/webmedia_1473311814_web.jpg,0,0
Mammillaria bocasana subsp. bocasana,1990,"Mexico, San Luis Potosi, San Luis Potosi: West of Urbanos.",22.408333,-100.9,Ample plants.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00063/DES00063741.jpg,1,0
Tephrocactus alexanderi,2010,"Argentina, Maricopa County: Grown in cultivation at Desert Botanical Garden, Phoenix, N 33 deg 27' 33'', W 111 deg 56' 35'', 1200 ft., 366 m: accessio",-27,-67,"Plant height ca 10 cm; single stem with globose joints off of the main stem, color blue-gray-green; areoles are on pentagonal or hexagonal tubercules, some have reddish-brown color around them; spines black or tan or dark reddish-brown or some combination of these colors.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00066/DES00066188.jpg,0,0
Eriosyce subgibbosa subsp. subgibbosa,1977,"Chile, KM 230 PanAm on coast",-31.75,-71.5,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00036/DES00036882.jpg,1,0
Mammillaria wildii,2009,"Mexico, Hidalgo, Maricopa County: Grown in cultivation at Desert Botanical Garden, Phoenix, N 33 deg 27' 33'', W 111 deg 56' 35'', 1200 ft., 366 m; ac",20.533065,-98.63749,"Flowers collected late morning, flower diamter 17-19 mm, length 18-19 mm, outer perianth cream with reddish-brown midstripe, inner perianth cream with faint midstripe; plant height ca 3 inches, single stem, color blue-gray-green; spines on long tubercules; one hooked central spine, spine color white or tan or golden or reddish-brown.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES/DES00063/DES00063003.jpg,1,0
Echinocereus enneacanthus var. enneacanthus,1982,"Mexico, Chihuahua, W of Camargo near Presa la Boquilla at Los Filtros.",27.545078999999998,-105.41241200000002,Common.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0053/ASU0053135.jpg,0,0
Coryphantha poselgeriana,2004,"Mexico, Coahuila, 20km west of Laguna del Rey, 1km NE of El Milagro. Laguana del Rey 1:50,000 Centenal topographic quadrangle.",27.05987,-103.6403,"Generally solitary stemmed but at least two individuals with two stems; large spines dark brown, some individuals with uniformly straw-colored spines, ca. 40 adults seen, no juveniles, ca. 12 dead individuals.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00064/DES00064801.jpg,1,0
Opuntia leucotricha,1999,"Mexico, Zacatecas, Mpio. de Mazapil. 4 km NW de Tecolotes, ladera W de Sierra El Raton.",24.63944,-101.9989,"Plantas arborescentes, epidermis pubescente; segmentos del tallo anchamente obovados; 27 x 17 x 1.2 cm; 15 series de areolas, distantes entre si 1.4-2.0 cm; areolas circulares de 2.5 mm; lana blanca en el centro; gloquidas cafe claro dispuestas en semicírculo en la parte apical, 3 mm de largo; espinas delgadas, amarillentas, 3-8 con algunos pelos setosos, amarillos; frutos obovados, amarillentos, carnosos.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0058/ASU0058320.jpg,0,0
Echinopsis thelegona,2002,"Argentina, Catamarca, Capital, Cultivated at Desert Botanical Garden, Phoenix, Maricopa Co., AZ, lat 33.460598, lon -111.947776, ele 1280'. Northweste",-28.480234000000003,-65.779519,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00002/DES00002044.jpg,0,0
Stenocactus obvallatus,1972,"Mexico, San Luis Potosi, Along Rtes 57-80, near town of Ventura near mine and railroad tracks, ca. 33 km N of San Luis Potosi.",22.5,-100.5,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0053/ASU0053272.jpg,0,0
Cylindropuntia cardenche,1997,"Mexico, San Luis Potosi, SE side of San Luis Potosí, 2 km NNE of El Aguaje, just south of the Bochoco Plant.",22.11,-100.9333,"Shrub to 2 m tall; fruit ovate, pale yellow-green to orange-red, chaining.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0058/ASU0058884.jpg,0,0
Mammillaria heyderi subsp. gummifera,2005,"Mexico, Durango, Maricopa County: Grown in cultivation at Desert Botanical Garden, Phoenix, N 33 deg 27' 33'', W 111 deg 56' 35'', 1200 ft., 366 m: ac",24.061522,-104.694975,"Flowers collected in the afternoon, diameter 18-23 mm, length 23-28 mm; outer perianth white with greenish-pink midstripe, inner perinath pink with dark pink midstrip and cream tips; spine cream or golden with dark tips.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES/DES00056/DES00056230.jpg,1,0
Opuntia bravoana,1996,"MÉXICO, SONORA, Hermosillo, Loc. Bordo de la Presa de Hermosillo, Lado W.",29.125556,-110.92833300000001,,http://storage.idigbio.org/portals/seinet/mexnorte/UNISON_USON/00004/04893_1575922714.jpg,0,0
Cereus stellatus,1992,"Mexico, Oaxaca, 50 miles NNW of junction with Hwy 190; 1 mile from Tomellin Road; 10 miles N of Dominacillo.",17.758798000000002,-96.961286,Flowers red.,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0053/ASU0053997.jpg,0,0
Eriosyce napina subsp. napina,1977,"Chile, 3 km N of Freirina",-28.466666999999998,-71.05,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00036/DES00036915.jpg,0,0
Pygmaeocereus bylesianus,1994,"Peru, Arequipa, 12 km south of Atico at km 711 along Hwy 1 (Pan American Highway).",-16.256220000000003,-73.52975,"Small, inconspicuous cacti, not infrequent here, with large root.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU0053/ASU0053937.jpg,0,0
Copiapoa echinoides,1977,"Chile, Atacama, Town: South Canto de Agua, 14 km south of, on road to Frerina. Plant separate.",-28.3,-70.95,,https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00046/DES00046778.jpg,0,0
Echinocereus coccineus subsp. coccineus,1970,"United States, Colorado, Garfield, 6 miles NW of Debeque, on knoll along Sulphur Gulch.",39.4002525,-108.2885257,,https://botanydb.colorado.edu/COLO_V/00209/00209171.jpg,0,0
Maihueniopsis conoidea,2004,"Chile, Antofagasta, Along road to Cebollar.",21.819722,-68.4735,"Plants forming clumps 25-40 cm in diameter; spines long and dark. Flower 30-40 mm wide, 45-50 mm long, bright yellow. Numerous fruits.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/DES/DES00067/DES00067785.jpg,1,0
Opuntia x charlestonensis,2013,"United States, Nevada, Clark, Spring Mountains, south-running ravine of Kyle Canyon, just east of Stanley B. Springs, 5.3 km east of Charleston Peak,",36.270293,-115.637077,"Locally numerous individuals; stems trailing. This is not the type locality for the species. Stem transplanted to pot, Chino Valley, Arizona. Bud collected in late meiosis of microgametogenesis at 18:30 hrs, 23 May 2013, n = 55/2, stem collected 2 June 2013.",https://serv.biokic.asu.edu/imglib/h_seinet/seinet/ASU/ASU_Plants/ASU0078/ASU0078777.jpg,0,0
